Author,Resort,Count,Role
Adam Olschewski,feuilleton,1,Unknown
Adam Paulsen,feuilleton,1,Unknown
Adelheid Wölfl,international,5,Unknown
Adina Renner,international,15,Visuals & Tech
Adrian Hänni,pro,1,Unknown
Adrian Lobe,feuilleton,3,Unknown
Adrian Meyer,report-und-debatte,6,Unknown
Adrian Ritter,wissenschaft,16,Unknown
Adrian Schräder,feuilleton,13,Unknown
Adrian Vatter,nzz-am-sonntag,1,Unknown
Adriel Jost,nzz-am-sonntag,1,Unknown
Aglaja Stirn,meinung,1,Unknown
Ahmad Mansour,meinung,1,Unknown
Ahmer Khan,international,2,Unknown
Akos Stiller,international,1,Unknown
Alain Zucker,nzz-am-sonntag,4,Schweiz und Debatte
Alan Cassidy,schweiz,1,Unknown
Alan Niederer,wissenschaft,1,Unknown
Albert Steck,wirtschaft,63,Wirtschaft
Aldo Keel,feuilleton,6,Unknown
Alex Frei,meinung,1,Unknown
Alex Glanzmann,meinung,1,Unknown
Alex Spoerndli,Unspecified,1,Unknown
Alex Welsh,international,1,Unknown
Alexander Busch,international,44,Unknown
Alexander Görlach,meinung,5,Unknown
Alexander V. Pantsov,feuilleton,2,Unknown
Alexandra Janssen,meinung,1,Unknown
Alexandra von Ascheraden,reisen,3,Unknown
Alexandre Bré,nzz-am-sonntag,1,Unknown
Alfred Bodenheimer,feuilleton,1,Unknown
Alfred Früh,meinung,1,Unknown
Alfred Schlienger,feuilleton,3,Unknown
Alice Grosjean,Unspecified,38,Podcast
Aline Wanner,folio,3,Redaktion
Aliona Kardash,international,1,Unknown
Almut Siefert,international,7,Unknown
Amaury Hauchard,nzz-am-sonntag-magazin,1,Unknown
Amit Elkayam,schweiz,1,Unknown
Amos Michael Friedländer,meinung,1,Unknown
Anders Ehlers Dam,feuilleton,1,Unknown
Andra Bornhauser,feuilleton,1,Magazin / Bellevue / Z
Andre Briviba,meinung,1,Unknown
Andrea Bornhauser,feuilleton,1,Magazin / Bellevue / Z
Andrea Brühlmann,international,1,Visuals & Tech
Andrea Fopp,schweiz,76,Bundeshaus
Andrea Hauner,Unspecified,1,Unknown
Andrea Jeska,international,5,Unknown
Andrea Lanfranchi,schweiz,1,Unknown
Andrea Martel,wirtschaft,58,Zürich
Andrea Marti,zuerich,48,Zürich
Andrea Masüger,meinung,1,Unknown
Andrea Mittelholzer,feuilleton,4,Bildredaktion
Andrea Opel,meinung,2,Unknown
Andrea Spalinger,gesellschaft,8,Reporter
Andrea Zahler,sport,1,Unknown
Andreas Babst,international,37,Unknown
Andreas Barthelmess,meinung,1,Unknown
Andreas Bieniok,meinung,1,Unknown
Andreas Ernst,international,36,Unknown
Andreas Fannin,nzz-am-sonntag,1,Unknown
Andreas Frey,wissenschaft,8,Unknown
Andreas Haslauer,sport,2,Unknown
Andreas Hediger,meinung,1,Unknown
Andreas Heinemann,meinung,1,Unknown
Andreas Hellmann,meinung,1,Unknown
Andreas Holzapfel,wissenschaft,1,Unknown
Andreas Hostettler,meinung,1,Unknown
Andreas Leisi,zuerich,1,Unknown
Andreas Lienhard,meinung,1,Unknown
Andreas Mink,international,14,Unknown
Andreas Müller,meinung,1,Unknown
Andreas Oehme,meinung,1,Unknown
Andreas Rödder,report-und-debatte,3,Unknown
Andreas Rüesch,international,56,International
Andreas Scheiner,feuilleton,42,Layout und Produktion
Andreas Spaeth,mobilitaet,23,Unknown
Andreas Umland,meinung,4,Unknown
Andreas Wenderoth,nzz-am-sonntag-magazin,1,Unknown
Andreas Wenger,zuerich,1,Unknown
Andreea Campeanu,international,1,Unknown
Andrei Kolesnikow,feuilleton,9,Unknown
Andrew Chakhoyan,meinung,2,Unknown
Andri Janett,schweiz,1,Unknown
Andri Rostetter,schweiz,20,Schweiz
André Behr,feuilleton,3,Unknown
André Holenstein,feuilleton,1,Unknown
André Müller,wirtschaft,121,Unknown
Andrés Velasco,meinung,1,Unknown
Angela Maier,finanzen,13,Unknown
Angela Stanzel,meinung,1,Unknown
Angelika Affentranger-Kirchrath,feuilleton,1,Unknown
Angelika Drnek,feuilleton,1,Unknown
Anita Brechbühl,sport,2,Unknown
Anita Pouchard Serra,international,1,Unknown
Anita Winter,schweiz,1,Unknown
Anja Knabenhans,sport,1,Unknown
Anja Lemcke,international,4,Visuals & Tech
Anna Aicher,international,1,Unknown
Anna Dotti,international,1,Unknown
Anna Kardos,feuilleton,42,Kultur
Anna Laura Ludwig,meinung,1,Unknown
Anna Scheld,folio,1,Unknown
Anna Schiller,international,95,Redaktion Deutschland
Anna Weber,wissenschaft,24,Wissenschaft
Annalena Müller,schweiz,7,Unknown
Anne Allmeling,international,35,International
Anne Gabriel-Jürgens,nzz-am-sonntag-magazin,1,Unknown
Anne Mette,meinung,1,Unknown
Annegret Erhard,feuilleton,1,Unknown
Annegret Mathari,schweiz,12,Unknown
Annick Ramp,zuerich,3,Fotografen
Anton Beck,feuilleton,3,Unknown
Anton Vester,panorama,1,Unknown
Antoni Lallican,international,1,Unknown
Antonia Moser,Unspecified,35,Podcast
Antonio Fumagalli,international,84,Unknown
Aparna Nori,international,1,Unknown
Arlette Bashizi,international,1,Unknown
Armando Meier,meinung,1,Unknown
Armin Fuhrer,feuilleton,1,Unknown
Armin Scharf,mobilitaet,2,Unknown
Armina Galijas,feuilleton,1,Unknown
Armina Galijaš,meinung,1,Unknown
Arndt Peltner,international,2,Unknown
Arne Gottschalck,finanzen,10,Unknown
Arnon Grünberg,feuilleton,4,Unknown
Arthur Krön,meinung,1,Unknown
Arthur Larie,international,1,Unknown
Arthur Loepfe,meinung,1,Unknown
Asami Terajima,international,1,Unknown
Astrid Epiney,meinung,1,Unknown
Atul Loke,international,1,Unknown
Aufgezeichnet A. Wenger,international,1,Unknown
Balz Bruppacher,schweiz,10,Unknown
Bangkok,international,1,Unknown
Barbara Barkhausen,international,5,Unknown
Barbara Klingbacher,folio,8,Redaktion
Barnaby Skinner,wirtschaft,1,Chefredaktion
Beat Balzli,nzz-am-sonntag,11,Chefredaktor
Beat Bürgenmeier,meinung,1,Unknown
Beat Kappeler,meinung,2,Unknown
Beat Kissling,feuilleton,1,Unknown
Beat Schweizer,schweiz,1,Unknown
Beat Stauffer,meinung,1,Unknown
Beatrice Achterberg,international,57,Redaktion Deutschland
Beatrice Bösiger,wirtschaft,74,Wirtschaft
Beirut Rewert,international,1,Unknown
Beirut Rewert Hoffer,international,2,Unknown
Beirut Samuel Misteli,international,2,Unknown
Beit Lahiya,international,1,Unknown
Benedict Neff,meinung,18,International
Benedikt Koller,sport,30,Sport
Benjamin Steffen,sport,1,Unknown
Benjamin Triebe,wirtschaft,73,Wirtschaft
Bernadette Conrad,feuilleton,1,Unknown
Bernd Noack,feuilleton,19,Unknown
Bernd Roeck,pro,1,Unknown
Bernhard Lauterburg,schweiz,1,Unknown
Bertram Job,sport,9,Unknown
Bettina Rühl,international,11,Unknown
Birgit Püve,international,1,Unknown
