Cluster ID,Resort,Count
0,feuilleton,140
0,meinung,20
0,international,6
0,nzz-am-sonntag,6
0,nzz-am-sonntag-magazin,5
0,schweiz,5
0,report-und-debatte,3
0,panorama,3
0,zuerich,2
0,fotografie,2
0,gesellschaft,2
0,themen-dossiers,2
0,wirtschaft,2
0,reisen,2
0,sport,1
0,wissenschaft,1
0,der-andere-blick,1
1,feuilleton,52
1,meinung,47
1,international,44
1,Unspecified,21
1,der-andere-blick,20
1,wirtschaft,12
1,pro,10
1,schweiz,9
1,nzz-am-sonntag,5
1,panorama,4
1,report-und-debatte,4
1,finanzen,4
1,wissenschaft,3
1,zuerich,2
1,zmittag,1
1,themen-dossiers,1
1,sport,1
1,english,1
1,nzz-am-sonntag-magazin,1
1,folio,1
1,gesellschaft,1
1,kompakt-erklaert,1
1,reisen,1
1,nzz-live-veranstaltungen,1
1,mobilitaet,1
1,technologie,1
2,international,113
2,feuilleton,69
2,meinung,61
2,Unspecified,41
2,schweiz,22
2,pro,21
2,panorama,20
2,wirtschaft,18
2,english,17
2,wissenschaft,12
2,zuerich,11
2,gesellschaft,9
2,fotografie,9
2,nzz-am-sonntag-magazin,7
2,technologie,5
2,nzz-am-sonntag,3
2,sport,3
2,folio,2
2,reisen,1
2,podcasts,1
2,nzz-live-veranstaltungen,1
2,report-und-debatte,1
2,mobilitaet,1
2,finanzen,1
3,meinung,138
3,wirtschaft,58
3,international,28
3,pro,23
3,wissenschaft,23
3,schweiz,23
3,finanzen,21
3,technologie,20
3,feuilleton,16
3,nzz-am-sonntag,14
3,Unspecified,14
3,english,12
3,panorama,7
3,report-und-debatte,6
3,folio,4
3,fotografie,4
3,mobilitaet,3
3,gesellschaft,3
3,zuerich,3
3,der-andere-blick,2
3,nzz-am-sonntag-magazin,2
3,promoted-content,1
4,nzz-am-sonntag,3
4,report-und-debatte,2
4,wissenschaft,1
4,pro,1
5,international,47
5,meinung,19
5,panorama,12
5,mobilitaet,11
5,pro,10
5,wirtschaft,9
5,Unspecified,7
5,feuilleton,6
5,schweiz,5
5,gesellschaft,5
5,sport,4
5,nzz-am-sonntag-magazin,4
5,wissenschaft,4
5,zuerich,3
5,fotografie,3
5,reisen,2
5,report-und-debatte,2
5,english,1
5,finanzen,1
5,nzz-am-sonntag,1
6,sport,67
6,meinung,10
6,feuilleton,5
6,schweiz,3
6,panorama,3
6,Unspecified,2
6,report-und-debatte,1
6,pro,1
6,fotografie,1
6,folio,1
6,nzz-live-veranstaltungen,1
6,nzz-am-sonntag,1
6,mobilitaet,1
6,international,1
6,wissenschaft,1
6,zuerich,1
7,meinung,106
7,schweiz,64
7,feuilleton,21
7,nzz-am-sonntag,16
7,wirtschaft,16
7,international,16
7,panorama,13
7,report-und-debatte,10
7,zuerich,10
7,sport,9
7,wissenschaft,7
7,gesellschaft,5
7,pro,5
7,Unspecified,4
7,fotografie,3
7,mobilitaet,2
7,wochenende,2
7,technologie,1
7,nzz-am-sonntag-magazin,1
7,folio,1
7,infoscreens,1
8,meinung,3
9,international,40
9,feuilleton,38
9,meinung,23
9,schweiz,20
9,folio,20
9,panorama,19
9,reisen,18
9,gesellschaft,15
9,wirtschaft,13
9,nzz-am-sonntag,12
9,wissenschaft,9
9,nzz-am-sonntag-magazin,9
9,zuerich,9
9,sport,6
9,pro,5
9,report-und-debatte,5
9,fotografie,5
9,Unspecified,4
9,mobilitaet,3
9,english,1
9,finanzen,1
10,international,8
10,feuilleton,5
10,wirtschaft,3
10,pro,3
10,sport,3
10,meinung,2
10,schweiz,2
10,panorama,1
10,nzz-am-sonntag-magazin,1
10,reisen,1
11,wissenschaft,38
11,meinung,10
11,sport,5
11,zuerich,2
11,feuilleton,2
11,gesellschaft,1
11,report-und-debatte,1
11,nzz-am-sonntag,1
11,reisen,1
11,pro,1
12,meinung,30
12,zuerich,30
12,schweiz,13
12,international,8
12,gesellschaft,8
12,panorama,6
12,fotografie,5
12,Unspecified,4
12,feuilleton,3
12,wissenschaft,2
12,sport,2
12,mobilitaet,1
12,finanzen,1
12,nzz-live-veranstaltungen,1
12,nzz-am-sonntag-magazin,1
12,reisen,1
12,wirtschaft,1
13,meinung,4
