Cluster ID,Resort,Count
0,feuilleton,138
0,meinung,13
0,international,2
0,nzz-am-sonntag-magazin,2
0,report-und-debatte,2
0,panorama,2
0,gesellschaft,1
0,reisen,1
0,themen-dossiers,1
0,schweiz,1
1,feuilleton,40
1,international,33
1,meinung,23
1,Unspecified,10
1,wirtschaft,5
1,der-andere-blick,3
1,schweiz,3
1,nzz-am-sonntag,3
1,pro,2
1,finanzen,2
1,zuerich,1
1,themen-dossiers,1
1,report-und-debatte,1
1,nzz-am-sonntag-magazin,1
2,international,91
2,feuilleton,45
2,meinung,37
2,Unspecified,28
2,panorama,7
2,nzz-am-sonntag-magazin,5
2,wissenschaft,4
2,schweiz,3
2,pro,3
2,fotografie,3
2,nzz-am-sonntag,1
2,gesellschaft,1
2,technologie,1
2,zuerich,1
2,english,1
3,meinung,95
3,wirtschaft,42
3,wissenschaft,14
3,international,12
3,pro,10
3,feuilleton,9
3,technologie,8
3,finanzen,7
3,nzz-am-sonntag,7
3,schweiz,6
3,Unspecified,6
3,fotografie,1
3,promoted-content,1
3,nzz-am-sonntag-magazin,1
3,folio,1
4,nzz-am-sonntag,2
4,report-und-debatte,1
4,pro,1
5,international,42
5,meinung,11
5,mobilitaet,10
5,Unspecified,5
5,nzz-am-sonntag-magazin,4
5,pro,3
5,fotografie,2
5,sport,2
5,panorama,2
5,gesellschaft,2
5,feuilleton,2
5,schweiz,1
5,report-und-debatte,1
5,reisen,1
5,nzz-am-sonntag,1
5,wirtschaft,1
5,wissenschaft,1
6,sport,64
6,Unspecified,2
6,schweiz,1
6,panorama,1
6,fotografie,1
6,feuilleton,1
7,meinung,87
7,schweiz,52
7,feuilleton,10
7,nzz-am-sonntag,8
7,wirtschaft,5
7,international,5
7,panorama,5
7,report-und-debatte,4
7,Unspecified,2
7,wissenschaft,2
7,zuerich,2
7,mobilitaet,2
7,gesellschaft,2
7,fotografie,1
7,folio,1
7,pro,1
7,nzz-am-sonntag-magazin,1
8,meinung,3
9,international,25
9,feuilleton,23
9,folio,16
9,reisen,15
9,meinung,15
9,panorama,10
9,gesellschaft,7
9,wissenschaft,7
9,nzz-am-sonntag,7
9,nzz-am-sonntag-magazin,5
9,wirtschaft,3
9,schweiz,2
9,fotografie,2
9,mobilitaet,2
9,sport,1
10,international,6
10,feuilleton,3
10,schweiz,2
10,meinung,1
10,wirtschaft,1
10,sport,1
11,wissenschaft,38
11,meinung,8
11,sport,5
11,feuilleton,2
11,gesellschaft,1
11,report-und-debatte,1
12,zuerich,27
12,meinung,15
12,schweiz,5
12,fotografie,3
12,Unspecified,3
12,international,2
12,feuilleton,1
12,gesellschaft,1
12,mobilitaet,1
12,wissenschaft,1
13,meinung,4
