Author,Resort,Count,Role,cluster
Adam Olschewski,feuilleton,1,Unknown,0
Adam Paulsen,feuilleton,1,Unknown,1
Adelheid Wölfl,international,5,Unknown,2
Adina Renner,international,15,Visuals & Tech,2
Adrian Hänni,pro,1,Unknown,2
Adrian Lobe,feuilleton,3,Unknown,3
Adrian Meyer,report-und-debatte,6,Unknown,4
Adrian Ritter,wissenschaft,16,Unknown,11
Adrian Schräder,feuilleton,13,Unknown,0
Adrian Vatter,nzz-am-sonntag,1,Unknown,7
Adriel Jost,nzz-am-sonntag,1,Unknown,3
Aglaja Stirn,meinung,1,Unknown,3
Ahmad Mansour,meinung,1,Unknown,1
Ahmer Khan,international,2,Unknown,5
Akos Stiller,international,1,Unknown,9
Alain Zucker,nzz-am-sonntag,4,Schweiz und Debatte,9
Alan Cassidy,schweiz,1,Unknown,9
Alan Niederer,wissenschaft,1,Unknown,3
Albert Steck,wirtschaft,63,Wirtschaft,3
Aldo Keel,feuilleton,6,Unknown,0
Alex Frei,meinung,1,Unknown,9
Alex Glanzmann,meinung,1,Unknown,3
Alex Spoerndli,Unspecified,1,Unknown,5
Alex Welsh,international,1,Unknown,3
Alexander Busch,international,44,Unknown,10
Alexander Görlach,meinung,5,Unknown,5
Alexander V. Pantsov,feuilleton,2,Unknown,2
Alexandra Janssen,meinung,1,Unknown,3
Alexandra von Ascheraden,reisen,3,Unknown,9
Alexandre Bré,nzz-am-sonntag,1,Unknown,3
Alfred Bodenheimer,feuilleton,1,Unknown,1
Alfred Früh,meinung,1,Unknown,7
Alfred Schlienger,feuilleton,3,Unknown,0
Alice Grosjean,Unspecified,38,Podcast,5
Aline Wanner,folio,3,Redaktion,9
Aliona Kardash,international,1,Unknown,1
Almut Siefert,international,7,Unknown,9
Amaury Hauchard,nzz-am-sonntag-magazin,1,Unknown,5
Amit Elkayam,schweiz,1,Unknown,2
Amos Michael Friedländer,meinung,1,Unknown,3
Anders Ehlers Dam,feuilleton,1,Unknown,1
Andra Bornhauser,feuilleton,1,Magazin / Bellevue / Z,0
Andre Briviba,meinung,1,Unknown,11
Andrea Bornhauser,feuilleton,1,Magazin / Bellevue / Z,0
Andrea Brühlmann,international,1,Visuals & Tech,2
Andrea Fopp,schweiz,76,Bundeshaus,7
Andrea Hauner,Unspecified,1,Unknown,7
Andrea Jeska,international,5,Unknown,1
Andrea Lanfranchi,schweiz,1,Unknown,12
Andrea Martel,wirtschaft,58,Zürich,3
Andrea Marti,zuerich,48,Zürich,12
Andrea Masüger,meinung,1,Unknown,3
Andrea Mittelholzer,feuilleton,4,Bildredaktion,0
Andrea Opel,meinung,2,Unknown,13
Andrea Spalinger,gesellschaft,8,Reporter,9
Andrea Zahler,sport,1,Unknown,6
Andreas Babst,international,37,Unknown,5
Andreas Barthelmess,meinung,1,Unknown,3
Andreas Bieniok,meinung,1,Unknown,7
Andreas Ernst,international,36,Unknown,2
Andreas Fannin,nzz-am-sonntag,1,Unknown,7
Andreas Frey,wissenschaft,8,Unknown,7
