Author,Resort,Count
Adam Olschewski,feuilleton,1
Adam Paulsen,feuilleton,1
Adelheid Wölfl,international,5
Adelheid Wölfl,feuilleton,1
Adelheid Wölfl,wissenschaft,1
Adina Renner,international,15
Adina Renner,Unspecified,5
Adina Renner,english,1
Adina Renner,wirtschaft,1
Adrian Hänni,pro,1
Adrian Lobe,feuilleton,3
Adrian Meyer,report-und-debatte,6
Adrian Meyer,nzz-am-sonntag,3
Adrian Ritter,wissenschaft,16
Adrian Schräder,feuilleton,13
Adrian Vatter,nzz-am-sonntag,1
Adrian Vatter,meinung,1
Adriel Jost,nzz-am-sonntag,1
Aglaja Stirn,meinung,1
Ahmad Mansour,meinung,1
Ahmer Khan,international,2
Akos Stiller,international,1
Alain Zucker,nzz-am-sonntag,4
Alain Zucker,international,3
Alain Zucker,report-und-debatte,2
Alain Zucker,feuilleton,1
Alain Zucker,schweiz,1
Alan Cassidy,schweiz,1
Alan Niederer,wissenschaft,1
Albert Steck,wirtschaft,63
Albert Steck,meinung,9
Albert Steck,finanzen,3
Albert Steck,nzz-am-sonntag,1
Albert Steck,english,1
Albert Steck,feuilleton,1
Albert Steck,pro,1
Aldo Keel,feuilleton,6
Aldo Keel,meinung,1
Alena Wagnerová,feuilleton,2
Alex Frei,meinung,1
Alex Frei,report-und-debatte,1
Alex Glanzmann,meinung,1
Alex Spoerndli,Unspecified,1
Alex Welsh,international,1
Alex Welsh,technologie,1
Alexander Busch,international,44
Alexander Busch,wirtschaft,14
Alexander Busch,pro,10
Alexander Busch,feuilleton,1
Alexander Görlach,meinung,5
Alexander Rhotert,meinung,1
Alexander V. Pantsov,feuilleton,2
Alexandra Janssen,meinung,1
Alexandra von Ascheraden,reisen,3
Alexandre Bré,nzz-am-sonntag,1
Alfred Bodenheimer,feuilleton,1
Alfred Bodenheimer,meinung,1
Alfred Früh,meinung,1
Alfred Schlienger,feuilleton,3
Alice Grosjean,Unspecified,38
Alice Grünfelder,feuilleton,1
Aline Wanner,folio,3
Aline Wanner,meinung,2
Aline Wanner,gesellschaft,1
Aline Wanner,wirtschaft,1
